Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
4390	-	m	t	-	-	-	-	-	-		
4400	-	m	t	-	-	-	-	-	-		
4410	-	m	t	-	-	-	-	-	-		
4420	-	m	t	-	-	-	-	-	-		
4430	-	m	t	-	-	-	-	-	-		
4440	-	m	t	-	-	-	-	-	-		
4450	-	m	t	-	-	-	-	-	-		
4460	r	m	t	-	-	-	-	-	-		
4470	r	m	t	-	-	-	-	-	-		
4480	r	m	t	-	-	-	-	-	-		
4490	r	m	t	-	-	-	-	-	-		
4500	r	m	t	-	-	-	-	-	-		
4510	r	m	t	-	-	-	-	-	-		
4520	-	m	t	-	-	-	-	-	-		
4530	-	m	t	-	-	-	-	-	-		
4540	-	m	t	-	-	-	-	-	-		
4550	-	m	t	-	-	-	-	-	-		
4560	-	m	t	-	-	-	-	-	-		
4570	-	m	t	-	-	-	-	-	-		
4580	-	m	t	-	-	-	-	-	-		
4590	-	m	t	-	-	-	-	-	-		
4600	-	m	t	-	-	-	-	-	-		
4610	-	m	t	-	-	-	-	-	-		
4620	-	m	t	-	-	-	-	-	-		
4630	-	m	t	-	-	-	-	-	-		
4640	-	m	t	-	-	-	-	-	-		
4650	-	m	t	-	-	-	-	-	-		
4660	-	m	t	r	-	-	-	-	-		
4670	-	m	t	r	-	-	-	-	-		
4680	-	m	t	r	-	-	-	-	-		
4690	-	m	t	r	-	-	-	-	-		
4700	-	m	t	r	-	-	-	-	-		
4710	-	m	t	r	-	-	-	-	-		
4720	t	m	-	t	-	-	-	-	-		
4730	t	m	-	t	-	-	-	-	-		
4740	t	m	-	t	-	-	-	-	-		
4750	t	m	-	t	-	-	-	-	-		
4760	t	m	-	t	-	-	-	-	-		
4770	t	m	-	t	-	-	-	-	-		
4780	t	m	-	t	-	-	-	-	-		
4790	t	m	-	t	-	-	-	-	-		
4800	t	m	-	t	-	-	-	-	-		
4810	t	m	-	t	-	-	-	-	-		
4820	-	m	-	t	-	-	-	-	-		
4830	-	m	-	t	-	-	-	-	-		
4840	-	m	-	t	-	-	-	-	-		
4850	-	m	-	t	-	-	-	-	-		
4860	-	m	t	t	-	-	-	-	-		
4870	-	m	t	t	-	-	-	-	-		
4880	-	m	t	t	-	-	-	-	-		
4890	-	m	t	t	-	-	-	-	-		
4900	-	m	t	t	-	-	-	-	-		
4910	-	m	t	t	-	-	-	-	-		
4920	-	m	t	-	-	-	-	-	-		
4930	-	m	t	-	-	-	-	-	-		
4940	-	m	t	-	-	-	-	-	-		
4950	-	m	t	-	-	-	-	-	-		
4960	-	m	t	-	-	-	-	-	-		
4970	-	m	t	-	-	-	-	-	-		
4980	-	m	r	r	-	-	-	-	-		
4990	-	m	r	r	-	-	-	-	-		
5000	-	m	r	r	-	-	-	-	-		
5010	-	m	r	r	-	-	-	-	-		
5020	-	m	r	t	-	-	-	-	-		
5030	-	m	r	t	-	-	-	-	-		
5040	-	m	r	t	-	-	-	-	-		
5050	-	m	r	t	-	-	-	-	-		
5060	r	m	r	t	-	-	-	-	-		
5070	r	m	r	t	-	-	-	-	-		
5080	r	m	r	t	-	-	-	-	-		
5090	r	m	r	t	-	-	-	-	-		
5100	r	m	-	t	-	-	-	-	-		
5110	r	m	-	t	-	-	-	-	-		
5120	r	t	-	t	-	-	-	-	-		
5130	r	t	-	t	-	-	-	-	-		
5140	t	t	-	t	-	-	-	-	-		
5150	t	t	-	t	-	-	-	-	-		
5160	t	t	-	t	-	-	-	-	-		
5170	t	t	-	t	-	-	-	-	-		
5180	t	t	-	t	-	-	-	-	-		
5190	t	t	-	t	-	-	-	-	-		
5200	t	t	-	t	-	-	-	-	-		
5210	t	t	-	t	-	-	-	-	-		
5220	m	m	-	t	-	-	-	-	-		
5230	m	m	-	t	-	-	-	-	-		
5240	t	t	-	t	-	-	-	-	-		
5250	t	t	-	t	-	-	-	-	-		
5260	t	t	-	t	-	-	-	-	-		
5270	t	t	-	t	-	-	-	-	-		
5280	t	t	r	t	-	-	-	-	-		
5290	t	t	r	t	-	-	-	-	-		
5300	t	t	r	t	-	-	-	-	-		
5310	t	t	r	t	-	-	-	-	-		
5320	t	t	r	t	-	-	-	-	-		
5330	t	t	r	t	-	-	-	-	-		
